priority,accession_number,title,record_type,collection_name,historical_theme,people,object_date,donor,neighborhood,observation_reasons,notes
medium,SRM-2026-701,"Publicity portrait of an unidentified woman in ceremonial headpiece, undated",Photograph,Youngs Collection,Arts And Culture,,undated,,Geographies To Be Confirmed,unidentified subject; no named people on person-centered image,"Imported from /Users/Birittany/Downloads/Youngs.zip (4.png) on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
medium,SRM-2026-703,"Portrait of an unidentified young man, undated",Photograph,Youngs Collection,Portraiture and Community Memory,,undated,,Geographies To Be Confirmed,unidentified subject; no named people on person-centered image,"Imported from /Users/Birittany/Downloads/Youngs.zip (6.png) on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
medium,SRM-2026-704,"Faded family group portrait, undated",Photograph,Youngs Collection,Family And Local Life,,undated,,Geographies To Be Confirmed,generic subject title; no named people on person-centered image,"Imported from /Users/Birittany/Downloads/Youngs.zip (7.png) on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
medium,SRM-2026-711,"Uniformed youth group portrait with adult leader, undated",Photograph,Youngs Collection,African American Education,,undated,,Geographies To Be Confirmed,generic subject title; no named people on person-centered image,"Imported from /Users/Birittany/Downloads/Youngs.zip (14.png) on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
medium,SRM-2026-716,"Close-up portrait of two unidentified adults outdoors, undated",Photograph,Youngs Collection,Portraiture and Community Memory,,undated,,Geographies To Be Confirmed,unidentified subject; no named people on person-centered image,"Imported from /Users/Birittany/Downloads/Youngs.zip (19.png) on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026. Legacy accession label visible in image: 90.12.1."
medium,SRM-2026-717,"Formal portrait of an unidentified man, undated",Photograph,Youngs Collection,Portraiture and Community Memory,,undated,,Geographies To Be Confirmed,unidentified subject; no named people on person-centered image,"Imported from /Users/Birittany/Downloads/Youngs.zip (20.png) on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
medium,SRM-2026-726,"Portrait of an unidentified man with glasses and bow tie, undated",Photograph,Youngs Collection,Portraiture and Community Memory,,undated,,Geographies To Be Confirmed,unidentified subject; no named people on person-centered image,"Imported from /Users/Birittany/Downloads/Youngs.zip (29.png) on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
medium,SRM-2026-732,"Profile portrait of an unidentified woman, undated",Photograph,Youngs Collection,Portraiture and Community Memory,,undated,,Geographies To Be Confirmed,unidentified subject; no named people on person-centered image,"Imported from /Users/Birittany/Downloads/Youngs.zip (35.png) on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
medium,SRM-2026-757,"Portrait of an unidentified man seated at a desk, undated",Photograph,Youngs Collection,Portraiture and Community Memory,,undated,,Geographies To Be Confirmed,unidentified subject; no named people on person-centered image,"Imported from /Users/Birittany/Downloads/Youngs.zip (60.png) on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
medium,SRM-2026-762,"Formal portrait of an unidentified elderly man with a book, undated",Photograph,Youngs Collection,Portraiture and Community Memory,,undated,,Geographies To Be Confirmed,unidentified subject; no named people on person-centered image,"Imported from /Users/Birittany/Downloads/Youngs.zip (65.png) on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
medium,SRM-2026-763,"Color snapshot of an unidentified older man at an event, undated",Photograph,Youngs Collection,Family And Local Life,,undated,,Geographies To Be Confirmed,unidentified subject; no named people on person-centered image,"Imported from /Users/Birittany/Downloads/Youngs.zip (66.png) on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
medium,SRM-2026-764,"Portrait of an unidentified man before a broken window, undated",Photograph,Youngs Collection,Portraiture and Community Memory,,undated,,Geographies To Be Confirmed,unidentified subject; no named people on person-centered image,"Imported from /Users/Birittany/Downloads/Youngs.zip (67.png) on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026. Additional label note: Photo credit Kirksey."
medium,SRM-2026-766,"Large outdoor group photograph, undated",Photograph,Youngs Collection,Community and Professional Life,,undated,,Geographies To Be Confirmed,generic subject title; no named people on person-centered image,"Imported from /Users/Birittany/Downloads/Youngs.zip (69.png) on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
medium,SRM-2026-777,"Exhibit installation or workroom scene with portrait display, undated",Photograph,,Arts And Culture,,undated,,,no named people on person-centered image; missing geography/neighborhood,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/3.png on 2026-08-05."
medium,SRM-2026-787,"Child seated outdoors on a bench, undated",Photograph,,Family And Local Life,,undated,,,no named people on person-centered image; missing geography/neighborhood,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/13.png on 2026-08-05."
medium,SRM-2026-788,"YWCA branch leadership group seated around a table, 1940s or 1950s",Photograph,,Civic Leadership,,1940s or 1950s,,,no named people on person-centered image; missing geography/neighborhood,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/15.png on 2026-08-05. Handwritten note identifies the scene as a YWCA branch leadership or management committee photograph and lists several women by name and role."
medium,SRM-2026-790,"Woman seated at a piano or organ, undated",Photograph,,Arts And Culture,,undated,,,generic subject title; no named people on person-centered image; missing geography/neighborhood,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/18.png on 2026-08-05."
medium,SRM-2026-796,"Classroom scene labeled ""Black e Proud School,"" undated",Photograph,,African American Education,,undated,,,tentative interpretation; missing geography/neighborhood,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/24.png on 2026-08-05. Handwritten note at the lower edge appears to read ""Black e Proud School."""
medium,SRM-2026-809,"Infant seated in a walker beside a small table, undated",Photograph,,Family And Local Life,,undated,,,no named people on person-centered image; missing geography/neighborhood,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/49.png on 2026-08-05."
medium,SRM-2026-819,"Family group portrait, undated",Photograph,,Family And Local Life,,undated,,,generic subject title; no named people on person-centered image; missing geography/neighborhood,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/61.png on 2026-08-05."
medium,SRM-2026-820,"Wedding portrait with cake, undated",Photograph,,Family And Local Life,,undated,,,no named people on person-centered image; missing geography/neighborhood,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/62.png on 2026-08-05."
medium,SRM-2026-821,"Indoor family group portrait, undated",Photograph,,Family And Local Life,,undated,,,generic subject title; no named people on person-centered image; missing geography/neighborhood,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/63.png on 2026-08-05."
medium,SRM-2026-831,"Woman seated on a bench with child, undated",Photograph,,Family And Local Life,,undated,Atty. William Miller III,,generic subject title; no named people on person-centered image; missing geography/neighborhood,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/75.png on 2026-08-05. Legacy accession label visible in image: 86.22.6. Donor context supplied on August 6, 2026."
medium,SRM-2026-834,"Candid photograph of a woman in a polka-dot dress, undated",Photograph,,Family And Local Life,,undated,,,no named people on person-centered image; missing geography/neighborhood,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/79.png on 2026-08-05. Legacy accession label visible in image: 90.12.49."
medium,SRM-2026-835,"JSU graduation ceremony, May 8, 1977",Photograph,,African American Education,Luther; John A. Peoples Jr.,1977-05-08,,,tentative interpretation; missing geography/neighborhood,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/80.png on 2026-08-05. Handwritten note reads: ""JSU Graduation May 8, 1977. Luther receiving Golden diploma from Dr. John A. Peoples, Jr., Pres."""
medium,SRM-2026-837,"Woman drawing water from a hand pump, undated",Photograph,,Family And Local Life,,undated,,,no named people on person-centered image; missing geography/neighborhood,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/85.png on 2026-08-05. Legacy accession label visible in image: 90.12.31."
medium,SRM-2026-839,"Man drawing water from a hand pump, undated",Photograph,,Family And Local Life,,undated,,,no named people on person-centered image; missing geography/neighborhood,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/87.png on 2026-08-05."
medium,SRM-P-2026-004,Photo Prof. Luther Marshall,Photograph,Smith Robertson,African American Education,,,,Smith Robertson Campus,no named people on person-centered image; missing object date; missing donor/provenance,
medium,SRM-R--2008-002,Jackson Advocate 2008,Artifact,Jackson Advocate,Arts And Culture,,2008,jackson advocate,,tentative interpretation; missing geography/neighborhood,
low,SRM-2026-046,Memphis Brewers Company Lewis Banquet for the Mississippi Negro Country Agents,Photograph,Photograph Collection,Community and Professional Life,,1939-11-28 00:00:00,,,missing donor/provenance; missing geography/neighborhood,Caption should be verified in person for spelling of place name and company wording.
low,SRM-2026-051,Poor People's Campaign 1968 Southern Caravan to Washington broadside,Archive,Civil Rights Collection,Civil Rights and Citizenship,Martin Luther King Jr.; Ralph David Abernathy,1968,,,missing donor/provenance; missing geography/neighborhood,Distinct item from the separate SCLC invitation flyer also photographed in this batch.
low,SRM-2026-052,SCLC flyer inviting participation in the Poor People's Campaign,Archive,Civil Rights Collection,Civil Rights and Citizenship,Martin Luther King Jr.,1968,,,missing donor/provenance; missing geography/neighborhood,This is a separate printed item from the Southern Caravan broadside.
low,SRM-2026-055,"The Link holdings (1996-1997, 2005-2006, 2008)",Newspaper / Periodical,Newspapers And Periodicals,Civic Leadership,,Jan. 1996-Sep. 1997; Jan. 2005-March 2006; Oct. 2008,,"Jackson, Mississippi",missing donor/provenance,Source image: 1.png. Label transcription: THE LINK / Jan. 1996-Sept. 1997 / Jan. 2005-March 2006 / Oct. 2008.
low,SRM-2026-056,The Jackson Advocate holdings (March-December 2006),Newspaper / Periodical,Newspapers And Periodicals,Civic Leadership,,March 2006-December 2006,,"Jackson, Mississippi",missing donor/provenance,Source image: 2.png. Label transcription: THE JACKSON ADVOCATE / March 2006-Dec 2006.
low,SRM-2026-057,The Jackson Advocate holdings (January-December 2007),Newspaper / Periodical,Newspapers And Periodicals,Civic Leadership,,Jan.-Dec. 2007,,"Jackson, Mississippi",missing donor/provenance,Source image: 3.png. Label transcription: THE JACKSON ADVOCATE / Jan-Dec. 2007.
low,SRM-2026-058,The Jackson Advocate holdings (January-December 2010),Newspaper / Periodical,Newspapers And Periodicals,Civic Leadership,,Jan.-Dec. 2010,,"Jackson, Mississippi",missing donor/provenance,Source image: 4.png. Label transcription: THE JACKSON ADVOCATE / Jan-Dec. 2010.
low,SRM-2026-059,The Jackson Advocate holdings (January-December 2009),Newspaper / Periodical,Newspapers And Periodicals,Civic Leadership,,Jan.-Dec. 2009,,"Jackson, Mississippi",missing donor/provenance,Source image: 5.png. Label transcription: THE JACKSON ADVOCATE / Jan-Dec. 2009.
low,SRM-2026-060,The Jackson Advocate holdings (August-October 2011),Newspaper / Periodical,Newspapers And Periodicals,Civic Leadership,,August 2011-October 2011,,"Jackson, Mississippi",missing donor/provenance,Source image: 6.png. Label transcription: Jackson Advocate / August 2011 thru October 2011 / Add to 2011's.
low,SRM-2026-062,Jackson Free Press holdings (2010 and September 2011 selections),Newspaper / Periodical,Newspapers And Periodicals,Civic Leadership,,"Jan.-Sept. 2010; Aug. 31-Sept. 20, 2011",,"Jackson, Mississippi",missing donor/provenance,Source image: 8.png. Label transcription: Jackson Free Press / Jan-Sept 2010 / Aug 31-Sept 6 2011 / Sept 7-13 2011 / Sept 14-20 2011.
low,SRM-2026-063,Jackson Free Press holdings (January-December 2009),Newspaper / Periodical,Newspapers And Periodicals,Civic Leadership,,Jan.-Dec. 2009,,"Jackson, Mississippi",missing donor/provenance,Source image: 9.png. Label transcription: Jackson Free Press / Jan-Dec 2009.
low,SRM-2026-064,Jackson Free Press holdings (January-December 2013),Newspaper / Periodical,Newspapers And Periodicals,Civic Leadership,,Jan. 2013-Dec. 2013,,"Jackson, Mississippi",missing donor/provenance,Source image: 10.png. Label transcription: Jackson Free Press / Jan 2013 / December 2013.
low,SRM-2026-065,"The Jackson Advocate holdings (January-December 2012, incomplete)",Newspaper / Periodical,Newspapers And Periodicals,Civic Leadership,,Jan.-Dec. 2012,,"Jackson, Mississippi",missing donor/provenance,"Source image: 11.png. Label transcription: THE JACKSON ADVOCATE / Jan-Dec 2012 / Missing issues June, July, August."
low,SRM-2026-066,"The Jackson Advocate holdings (January-December 2011, incomplete)",Newspaper / Periodical,Newspapers And Periodicals,Civic Leadership,,Jan.-Dec. 2011,,"Jackson, Mississippi",missing donor/provenance,Source image: 12.png. Label transcription: THE JACKSON ADVOCATE / Jan.-Dec. 2011 / Sept. issue missing.
low,SRM-2026-067,The Jackson Advocate holdings (January-December 2008),Newspaper / Periodical,Newspapers And Periodicals,Civic Leadership,,Jan.-Dec. 2008,,"Jackson, Mississippi",missing donor/provenance,Source image: 13.png. Label transcription: THE JACKSON ADVOCATE / Jan-Dec. 2008.
low,SRM-2026-070,"Jackson Free Press holdings (January 4-October 18, 2006)",Newspaper / Periodical,Newspapers And Periodicals,Civic Leadership,,"Jan. 4, 2006-Oct. 18, 2006",,"Jackson, Mississippi",missing donor/provenance,"Source image: 16.png. Label transcription: Jackson Free Press / Jan 4, 2006 thru October 18, 2006."
low,SRM-2026-072,"Jackson Free Press holdings (2003, 2005, 2007 selections)",Newspaper / Periodical,Newspapers And Periodicals,Civic Leadership,,"2003, 2005, and 2007 selections",,"Jackson, Mississippi",missing donor/provenance,"Source image: 18.png. Label transcription: Jackson Free Press / Nov 27-Dec 10, 2003 / Sept 29-Oct 5, 2005 / Feb 1-7, 2007 / June 2007 / Sept 20-26, 2007 / Sept 27-10/3, 2007 / Nov 1-7, 2007."
low,SRM-2026-073,Jackson Free Press holdings (January-December 2014),Newspaper / Periodical,Newspapers And Periodicals,Civic Leadership,,Jan.-Dec. 2014,,"Jackson, Mississippi",missing donor/provenance,Source image: 19.png. Label transcription: Jackson Free Press / Jan-December 2014.
low,SRM-2026-074,"Mixed periodicals folder (Jackson Free Press, Miss Link, Close Up)",Newspaper / Periodical,Newspapers And Periodicals,Community and Professional Life,,1969-2005 selections,,"Jackson, Mississippi",missing donor/provenance,"Source image: 20.png. Label transcription: Jackson Free Press / Sept 22, 2000 / Nov 7, 2002 / June 12-25, 2005 / Feb 24-March 16, 2005 / June 23-29, 2005 / Sept 29-Oct 5, 2005 / Nov 3-Nov 23, 2005 / Dec 1-7, 2005 / Dec 22-28, 2005 / Dec 15-21, 2005 / Miss Link / Jan 25-31, 1996 / Aug 21-27, 1997 / Close Up - Jan. 1969."
low,SRM-2026-075,Carved wooden slotted geometric panel,Artifact,SRM Collection,Material Culture and Interpretation,,,,Geographies To Be Confirmed,missing object date; missing donor/provenance,Title refined during 2026-07-18 visual metadata pass; exact cultural origin and use still need confirmation from museum documentation.
low,SRM-2026-077,Smith Robertson class portrait with young children posed outdoors,Photograph,SRM Collection,African American Education,unidentified students,,,Smith Robertson Campus,missing object date; missing donor/provenance,Visual review suggests a Smith Robertson class group; individual students and exact date remain unidentified.
low,SRM-2026-079,Piney Woods pennant ('21),Artifact,School History Collection,African American Education,,21,,Mississippi,missing donor/provenance,Source image: Untitled design (38)/5.png. Exact institution/date meaning should be confirmed.
low,SRM-2026-081,Mounted Smith Robertson commencement program and tuition receipt,Archive,School History Collection,African American Education,,"June 8, 1909; school month beginning Jan. 1, 1889",,Smith Robertson Campus,missing donor/provenance,Source image: Untitled design (37)/2.png. Tuition receipt handwriting is partially illegible and should be transcribed from the original object.
low,SRM-2026-083,Rules and Regulations for the Certification of the Administrative and Instructional Personnel (inscribed copy),Archive,School History Collection,African American Education,Betty Mae York; Bilbo Young,1958 revision,,Mississippi,missing donor/provenance,Source image: Untitled design (37)/4.png.
low,SRM-2026-088,Recitation Time,Archive,Museum Library,African American Education,,,,Geographies To Be Confirmed,missing object date; missing donor/provenance,Source image: Untitled design (37)/9.png.
low,SRM-2026-089,School Laws of the State of Mississippi,Archive,Museum Library,African American Education,J. S. Vandiver,"Code of 1930, as amended to 1938",,Mississippi,missing donor/provenance,Source image: Untitled design (37)/10.png.
low,SRM-2026-090,Fortieth Annual Convention of the Fifth Educational District of Mississippi Teachers Association,Archive,Museum Library,African American Education,,"January 24-25, 1964",,"Meridian, Mississippi",missing donor/provenance,Source image: Untitled design (37)/11.png.
low,SRM-2026-093,Souvenir Program of Miss Tan America Morton Pageant,Archive,Programs And Ephemera,Arts And Culture,,1965-03-12 00:00:00,,"Jackson, Mississippi",missing donor/provenance,Source image: Untitled design (37)/14.png.
low,SRM-2026-094,The Southern Register (Fall 1985),Archive,Museum Library,Arts And Culture,Richard Wright,Fall 1985,,Mississippi,missing donor/provenance,Source image: Untitled design (37)/15.png.
low,SRM-2026-095,From Nancy Cabot's Scrapbook quilt clipping,Archive,Programs And Ephemera,Arts And Culture,Nancy Cabot,,,United States,missing object date; missing donor/provenance,Source image: Untitled design (37)/16.png.
low,SRM-2026-099,A Neighborhood Discovery exhibition brochure,Archive,Programs And Ephemera,Civic Leadership,,"April 10-May 13, 1983",,Farish Street,missing donor/provenance,Source image: Untitled design (37)/20.png.
low,SRM-2026-100,Black Fashion Museum exhibition brochure,Archive,Programs And Ephemera,Arts And Culture,,1985-04-08 00:00:00,,New York City,missing donor/provenance,Source image: Untitled design (37)/21.png.
low,SRM-2026-101,Farish Street Historic District brochure,Archive,Programs And Ephemera,Arts And Culture,,,,Farish Street,missing object date; missing donor/provenance,Source image: Untitled design (37)/22.png.
low,SRM-2026-104,SRA Reading Laboratory IIc student record book,Archive,School History Collection,African American Education,,,,Smith Robertson Campus,missing object date; missing donor/provenance,Source image: Untitled design (37)/25.png. Student name on the cover should be confirmed directly from the original.
low,SRM-2026-105,"Jackson Public Schools admission application assigned to Robertson School, September 4, 1957",Archive,SRM Collection,African American Education,Eleanor Curtis Citis?,1957,,Smith Robertson Campus,missing donor/provenance,Student name remains difficult to read with confidence after visual review; revisit from original document if a precise transcription is needed.
low,SRM-2026-106,Jackson Public Schools admission application for Betti Ann Larry,Archive,SRM Collection,African American Education,Betti Ann Larry,1957,,Smith Robertson Campus,missing donor/provenance,Name reading strengthened during 2026-07-18 visual review.
low,SRM-2026-107,Jackson Public Schools admission application for Andra Jerome Robinson,Archive,SRM Collection,African American Education,Andra Jerome Robinson,1957,,Smith Robertson Campus,missing donor/provenance,Name reading strengthened during 2026-07-18 visual review.
low,SRM-2026-108,Jackson Public Schools admission application for Richard Oddie,Archive,SRM Collection,African American Education,Richard Oddie,1957,,Smith Robertson Campus,missing donor/provenance,Name reading retained after 2026-07-18 visual review.
low,SRM-2026-109,Jackson Public Schools admission application for Diane Lee Robinson,Archive,SRM Collection,African American Education,Diane Lee Robinson,1957,,Smith Robertson Campus,missing donor/provenance,Name reading strengthened during 2026-07-18 visual review.
low,SRM-2026-110,Jackson Public Schools admission application for James J. C. Horne,Archive,School History Collection,African American Education,James J. C. Horne,1957-09-04 00:00:00,,"Jackson, Mississippi",missing donor/provenance,Source image: Untitled design (37)/31.png.
low,SRM-2026-111,Jackson Public Schools admission application for Lillie Mae White,Archive,SRM Collection,African American Education,Lillie Mae White,1957,,Smith Robertson Campus,missing donor/provenance,Name reading strengthened during 2026-07-18 visual review.
low,SRM-2026-112,Jackson Public Schools admission application for Carol Lula Jones,Archive,School History Collection,African American Education,Carol Lula Jones,1957-09-05 00:00:00,,"Jackson, Mississippi",missing donor/provenance,Source image: Untitled design (37)/33.png.
low,SRM-2026-113,Jackson Public Schools admission application for Sarah Jennie Lindsey,Archive,SRM Collection,African American Education,Sarah Jennie Lindsey,1957,,Smith Robertson Campus,missing donor/provenance,Name reading strengthened during 2026-07-18 visual review.
low,SRM-2026-114,Leather portfolio embossed for Dr. Margaret Walker Alexander,Artifact,Personal Papers And Memorabilia,Arts And Culture,Margaret Walker Alexander,20th century,,"Jackson, Mississippi",missing donor/provenance,Object identification strengthened during 2026-07-18 visual review.
low,SRM-2026-117,Painting of seated woman holding child with teddy bear,Artifact,Art Collection,Midwives and Motherhood,,,,Geographies To Be Confirmed,missing object date; missing donor/provenance,Artist and exact date remain unidentified after visual review.
low,SRM-2026-126,Untitled expressionist portrait print in green and red tones,Artifact,Art Collection,Arts And Culture,,,,Geographies To Be Confirmed,missing object date,Represents printmaking or graphic portraiture within the museum's art holdings.
low,SRM-2026-128,Photograph of Fannie Lou Hamer speaking at microphones,Photograph,Civil Rights Collection,Civil Rights and Citizenship,Fannie Lou Hamer,1960s,,Mississippi,missing donor/provenance,Identification of Fannie Lou Hamer is based on image review and should be verified against object documentation.
low,SRM-2026-129,Framed drawing of seated figure,Artifact,Art Collection,Arts And Culture,,,,Geographies To Be Confirmed,missing object date; missing donor/provenance,Title and artist are not fully legible in the current image and should be confirmed from the original object.
low,SRM-2026-133,Freestanding photographic lamp or studio light,Artifact,SRM Collection,Arts And Culture,Richard Beadle,,,,missing object date; missing geography/neighborhood,Object function interpreted from visual review as photographic or studio lighting equipment.
low,SRM-2026-134,Collapsible tripod or equipment stand parts,Artifact,SRM Collection,Arts And Culture,Richard Beadle,,,,missing object date; missing geography/neighborhood,Exact device type still needs confirmation from object handling or donor documentation.
low,SRM-2026-135,Kodak Carousel slide projector with trays,Artifact,SRM Collection,Arts And Culture,Richard Beadle,,,,missing object date; missing geography/neighborhood,"Created from original SRM/3.png based on the 2026-07-03 cursory reconciliation pass. Best automated candidate was coll002.png at distance 35, but the image was triaged as likely not represented. Review before publishing or deduplicating."
low,SRM-2026-137,Circular slide carousel tray,Artifact,SRM Collection,Arts And Culture,Richard Beadle,,,,missing object date; missing geography/neighborhood,"Created from original SRM/5.png based on the 2026-07-03 cursory reconciliation pass. Best automated candidate was coll002.png at distance 35, but the image was triaged as likely not represented. Review before publishing or deduplicating."
low,SRM-2026-138,Metal motion-picture film reel,Artifact,SRM Collection,Arts And Culture,Richard Beadle,,,,missing object date; missing geography/neighborhood,"Created from original SRM/6.png based on the 2026-07-03 cursory reconciliation pass. Best automated candidate was coll002.png at distance 39, but the image was triaged as likely not represented. Review before publishing or deduplicating."
low,SRM-2026-139,Bell & Howell movie camera,Artifact,SRM Collection,Arts And Culture,Richard Beadle,,,,missing object date; missing geography/neighborhood,"Created from original SRM/7.png based on the 2026-07-03 cursory reconciliation pass. Best automated candidate was coll002.png at distance 47, but the image was triaged as likely not represented. Review before publishing or deduplicating."
low,SRM-2026-140,Portable audiovisual player or projector unit,Artifact,SRM Collection,Arts And Culture,Richard Beadle,,,,missing object date; missing geography/neighborhood,Exact make and model still need confirmation from close physical inspection.
low,SRM-2026-141,Large metal motion-picture reel,Artifact,SRM Collection,Arts And Culture,Richard Beadle,,,,missing object date; missing geography/neighborhood,"Created from original SRM/9.png based on the 2026-07-03 cursory reconciliation pass. Best automated candidate was coll016.png at distance 24, but the image was triaged as likely not represented. Review before publishing or deduplicating."
low,SRM-2026-142,Assorted cassette tapes and recording media,Artifact,SRM Collection,Arts And Culture,Richard Beadle,,,,missing object date; missing geography/neighborhood,"Created from original SRM/10.png based on the 2026-07-03 cursory reconciliation pass. Best automated candidate was coll002.png at distance 40, but the image was triaged as likely not represented. Review before publishing or deduplicating."
low,SRM-2026-143,Richard Beadle camera equipment with leather pouch,Artifact,SRM Collection,Arts And Culture,Richard Beadle,,,,missing object date; missing geography/neighborhood,User confirmed during 2026-07-18 metadata review that this object belongs with the Richard Beadle camera equipment group.
low,SRM-2026-144,Packets of photographic film,Artifact,SRM Collection,Arts And Culture,Richard Beadle,,,,missing object date; missing geography/neighborhood,User confirmed during 2026-07-18 metadata review that the grouped objects are packets of film.
low,SRM-2026-145,Kodak box camera with film cartridge,Artifact,SRM Collection,Arts And Culture,Richard Beadle,,,,missing object date; missing geography/neighborhood,"Created from original SRM/13.png based on the 2026-07-03 cursory reconciliation pass. Best automated candidate was coll016.png at distance 46, but the image was triaged as likely not represented. Review before publishing or deduplicating."
low,SRM-2026-146,Alamo Theatre ephemera and movie memorabilia assortment,Artifact,SRM Collection,Arts And Culture,,,,Farish Street,missing object date; missing donor/provenance,Visual review confirms the presence of Alamo Theatre promotional material and mid-1970s movie ephemera.
low,SRM-2026-149,Photography slides and slide mounts,Artifact,SRM Collection,Arts And Culture,Richard Beadle,,,,missing object date; missing geography/neighborhood,User confirmed during 2026-07-18 metadata review that the grouped items are photography slides.
low,SRM-2026-150,Vintage camera with flash attachment and cable release,Artifact,SRM Collection,Arts And Culture,Richard Beadle,,,,missing object date; missing geography/neighborhood,"Created from original SRM/18.png based on the 2026-07-03 cursory reconciliation pass. Best automated candidate was coll008.png at distance 48, but the image was triaged as likely not represented. Review before publishing or deduplicating."
low,SRM-2026-151,Photographic accessory set with slide viewers,Artifact,SRM Collection,Arts And Culture,Richard Beadle,,,,missing object date; missing geography/neighborhood,"Created from original SRM/19.png based on the 2026-07-03 cursory reconciliation pass. Best automated candidate was coll007.png at distance 35, but the image was triaged as likely not represented. Review before publishing or deduplicating."
low,SRM-2026-153,Camera equipment group with twin-lens camera and accessories,Artifact,SRM Collection,Arts And Culture,Richard Beadle,,,,missing object date; missing geography/neighborhood,"Created from original SRM/21.png based on the 2026-07-03 cursory reconciliation pass. Best automated candidate was coll006.png at distance 53, but the image was triaged as likely not represented. Review before publishing or deduplicating."
low,SRM-2026-154,Leather camera or equipment case,Artifact,SRM Collection,Arts And Culture,Richard Beadle,,,,missing object date; missing geography/neighborhood,"Created from original SRM/22.png based on the 2026-07-03 cursory reconciliation pass. Best automated candidate was coll006.png at distance 43, but the image was triaged as likely not represented. Review before publishing or deduplicating."
low,SRM-2026-155,Pair of photographic reflector lamps,Artifact,SRM Collection,Arts And Culture,Richard Beadle,,,,missing object date; missing geography/neighborhood,"Created from original SRM/23.png based on the 2026-07-03 cursory reconciliation pass. Best automated candidate was coll002.png at distance 31, but the image was triaged as likely not represented. Review before publishing or deduplicating."
low,SRM-2026-156,Ricohflex twin-lens reflex camera,Artifact,SRM Collection,Arts And Culture,Richard Beadle,,,,missing object date; missing geography/neighborhood,"Created from original SRM/24.png based on the 2026-07-03 cursory reconciliation pass. Best automated candidate was coll007.png at distance 54, but the image was triaged as likely not represented. Review before publishing or deduplicating."
low,SRM-2026-157,Assorted photographic flash reflectors,Artifact,SRM Collection,Arts And Culture,Richard Beadle,,,,missing object date; missing geography/neighborhood,"Created from original SRM/25.png based on the 2026-07-03 cursory reconciliation pass. Best automated candidate was coll092.png at distance 37, but the image was triaged as likely not represented. Review before publishing or deduplicating."
low,SRM-2026-162,Dr. C.L. Barnes Dentist sign,Artifact,SRM Collection,Black Business and Professional Life,Dr. C.L. Barnes,,,"Jackson, Mississippi",missing object date; missing donor/provenance,"Created from original SRM/32.png based on the 2026-07-03 cursory reconciliation pass. Best automated candidate was coll016.png at distance 37, but the image was triaged as likely not represented. Review before publishing or deduplicating."
low,SRM-2026-163,Framed photograph of Otis Grocery Store on Farish Street,Artifact,SRM Collection,Black Business and Professional Life,unidentified people,,,Farish Street,missing object date; missing donor/provenance,User identified the site during 2026-07-18 metadata review as Otis Grocery Store on Farish Street.
low,SRM-2026-164,Sony Walkman cassette player,Artifact,SRM Collection,Arts And Culture,Richard Beadle,,,,missing object date; missing geography/neighborhood,User confirmed during 2026-07-18 metadata review that the device is a Walkman.
low,SRM-2026-165,Small camera and accessory group,Artifact,SRM Collection,Arts And Culture,Richard Beadle,,,,missing object date; missing geography/neighborhood,"Created from original SRM/37.png based on the 2026-07-03 cursory reconciliation pass. Best automated candidate was coll093.png at distance 29, but the image was triaged as likely not represented. Review before publishing or deduplicating."
